groupement_siren,adhesion_siren
200023414,200085389
200023414,200092492
200023414,200096519
200023414,257602847
200023414,257602904
200023414,257604314
200023414,257604322
200023414,257604371
200023414,257604421
200023414,257604504
200023414,257604686
200023414,257604801
200023414,257604819
200023588,200045037
200023620,200016509
200023620,200039279
200023620,200048593
200023620,200052439
200023620,200074102
200023620,200076719
200023620,200079960
200023620,200090694
200023620,243100500
200023620,253100622
200023620,253101927
200023620,253102586
200023620,253201065
200023638,453372997
200023737,200009314
200023737,200023638
200023737,200032126
200023737,200032795
200023737,200052405
200023737,200083541
200023737,200090827
200023737,200090843
200023737,200092658
200023737,200093300
200023737,200093318
200023737,200098812
200023737,254600372
200023737,254600877
200023737,254603392
200023737,254603491
200023737,453372997
200023778,200020543
200023778,200042489
200023778,200043115
200023778,200088771
200023778,258500222
200023778,258501451
200023778,258501816
200023778,258501923
200023778,258502012
200023778,258502632
200023778,258502962
200023778,258503226
200023778,258503234
200023794,200010049
200023794,200032951
200023794,200082055
200023794,200084374
200023794,200097772
200023794,253301964
200023794,253306484
200023794,253306617
200023836,255003592
200023919,000000000
200023919,200036481
200023919,200041309
200023919,200066959
200023919,200087005
200023919,254500739
200023919,257701714
200023919,257701748
200023919,257703389
200023919,257704627
200024149,256404393
200024636,254003304
200024743,200010387
200024743,251601464
200024834,200043115
200024883,200081735
200025443,259300028
200026151,258801901
200026193,200016533
200026383,256404138
200026383,256404393
200026425,250702156
200026557,257702266
200026573,253900658
200026573,253901094
200026573,253901664
200026573,253901904
200026573,253901995
200026631,253306062
200026771,256103698
200027027,200038909
200027027,200049708
200027027,253514491
200027027,254401243
200027027,255600439
200027027,255600470
200027027,255601106
200027027,255602245
200027027,255613341
200027027,255613374
200027027,990147522
200027076,200041481
200027076,200078574
200027076,200078707
200027076,200091270
200027076,241800549
200027076,251800439
200027076,251801817
200027076,251802161
200027100,200033702
200027100,200046795
200027100,200046944
200027100,200062008
200027100,258300953
200027100,258302744
200027100,258302843
200027183,200005353
200027183,200006005
200027183,200010601
200027183,200014553
200027183,200015840
200027183,200016053
200027183,200018729
200027183,200044147
200027183,200049146
200027183,200053304
200027183,200053312
200027183,200053320
200027183,200061091
200027183,200068971
200027183,200087286
200027183,251101705
200027183,256600255
200027183,256600289
200027183,256600370
200027183,256600388
200027183,256601162
200027183,256601444
200027183,256601501
200027183,256601519
200027183,256601634
200027183,256601816
200027217,200033165
200027217,200045771
200027217,200081917
200027217,200094605
200027217,252402284
200027217,252403894
200027217,252404272
200027217,252405279
200027308,200023265
200027308,200050060
200027308,200055614
200027308,200060754
200027308,200072833
200027308,200073005
200027308,200094951
200027308,200095339
200027308,200096907
200027308,200097160
200027308,255200313
200027308,255200479
200027308,255200511
200027308,255200768
