id,alias,alias_norm,code_officiel,type,source,created_at
35,"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Haute-Vienne",conseil d architecture d urbanisme et de l environnement caue haute vienne,317326627,groupement,annuaire-sp,2026-01-19 22:02:32.57
36,"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Haute-Loire",conseil d architecture d urbanisme et de l environnement caue haute loire,344282686,groupement,annuaire-sp,2026-01-19 22:02:32.586
37,"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Aisne",conseil d architecture d urbanisme et de l environnement caue aisne,320304009,groupement,annuaire-sp,2026-01-19 22:02:32.605
38,"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Tarn",conseil d architecture d urbanisme et de l environnement caue tarn,318026333,groupement,annuaire-sp,2026-01-19 22:02:32.617
39,"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Morbihan",conseil d architecture d urbanisme et de l environnement caue morbihan,319162178,groupement,annuaire-sp,2026-01-19 22:02:32.627
40,"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Vosges",conseil d architecture d urbanisme et de l environnement caue vosges,319714531,groupement,annuaire-sp,2026-01-19 22:02:32.644
41,"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Haute-Saône",conseil d architecture d urbanisme et de l environnement caue haute saone,900070000,groupement,annuaire-sp,2026-01-19 22:02:32.652
42,"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Deux-Sèvres",conseil d architecture d urbanisme et de l environnement caue deux sevres,319380903,groupement,annuaire-sp,2026-01-19 22:02:32.66
43,"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Côtes-d'Armor",conseil d architecture d urbanisme et de l environnement caue cotes d armor,317515724,groupement,annuaire-sp,2026-01-19 22:02:32.665
44,"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Haute-Marne",conseil d architecture d urbanisme et de l environnement caue haute marne,320303977,groupement,annuaire-sp,2026-01-19 22:02:32.671
45,"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - La Réunion",conseil d architecture d urbanisme et de l environnement caue la reunion,320566169,groupement,annuaire-sp,2026-01-19 22:02:32.677
46,"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Hautes-Pyrénées",conseil d architecture d urbanisme et de l environnement caue hautes pyrenees,309285518,groupement,annuaire-sp,2026-01-19 22:02:32.688
47,"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Haute-Garonne",conseil d architecture d urbanisme et de l environnement caue haute garonne,325139178,groupement,annuaire-sp,2026-01-19 22:02:32.699
48,"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Haute-Savoie",conseil d architecture d urbanisme et de l environnement caue haute savoie,318825650,groupement,annuaire-sp,2026-01-19 22:02:32.708
49,"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Pyrénées-Orientales",conseil d architecture d urbanisme et de l environnement caue pyrenees orientales,318827284,groupement,annuaire-sp,2026-01-19 22:02:32.719
50,"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Val-de-Marne",conseil d architecture d urbanisme et de l environnement caue val de marne,318721040,groupement,annuaire-sp,2026-01-19 22:02:32.726
51,"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Saône-et-Loire",conseil d architecture d urbanisme et de l environnement caue saone et loire,489333690,groupement,annuaire-sp,2026-01-19 22:02:32.733
52,"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Pas-de-Calais",conseil d architecture d urbanisme et de l environnement caue pas de calais,329414296,groupement,annuaire-sp,2026-01-19 22:02:32.745
53,"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Haute-Corse",conseil d architecture d urbanisme et de l environnement caue haute corse,323415372,groupement,annuaire-sp,2026-01-19 22:02:32.755
54,"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Seine-Maritime",conseil d architecture d urbanisme et de l environnement caue seine maritime,317783918,groupement,annuaire-sp,2026-01-19 22:02:32.761
55,"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Seine-et-Marne",conseil d architecture d urbanisme et de l environnement caue seine et marne,317883692,groupement,annuaire-sp,2026-01-19 22:02:32.768
56,"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Corse-du-Sud",conseil d architecture d urbanisme et de l environnement caue corse du sud,90002A000,groupement,annuaire-sp,2026-01-19 22:02:32.777
57,"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Maine-et-Loire",conseil d architecture d urbanisme et de l environnement caue maine et loire,317063451,groupement,annuaire-sp,2026-01-19 22:02:32.784
58,"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Seine-Saint-Denis",conseil d architecture d urbanisme et de l environnement caue seine saint denis,323722637,groupement,annuaire-sp,2026-01-19 22:02:32.792
60,"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Meurthe-et-Moselle",conseil d architecture d urbanisme et de l environnement caue meurthe et moselle,320031701,groupement,annuaire-sp,2026-01-19 22:02:32.808
61,"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Hauts-de-Seine",conseil d architecture d urbanisme et de l environnement caue hauts de seine,316731165,groupement,annuaire-sp,2026-01-19 22:02:32.815
62,"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Puy-de-Dôme",conseil d architecture d urbanisme et de l environnement caue puy de dome,319201661,groupement,annuaire-sp,2026-01-19 22:02:32.822
64,"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Charente-Maritime",conseil d architecture d urbanisme et de l environnement caue charente maritime,319015152,groupement,annuaire-sp,2026-01-19 22:05:13.985
65,"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Indre-et-Loire",conseil d architecture d urbanisme et de l environnement caue indre et loire,527660419,groupement,annuaire-sp,2026-01-19 22:05:14.023
